,y_test,y_pred
9006,453992,449949.3379886297
7002,157722,170197.52787037037
4508,453365,453462.4712633654
10327,165443,173728.33289682542
5459,122034,114019.83255892256
11043,127346,128839.92292207792
2675,482245,476293.543419683
276,802129,798162.906851852
13469,182088,181842.32888888888
13393,182397,186755.75
2687,481101,474788.4248215045
11397,148145,149227.2
2740,81701,88499.46153971851
12501,297994,285732.7733333333
1809,120098,119578.86277761713
4420,295736,297539.6139035348
6369,107921,106591.84393541324
7416,207952,209885.49976280594
8684,338619,346807.8405919015
4499,465391,460947.0330165756
920,65120,67740.56512105677
11463,46938,46152.0680952381
5144,73999,74190.07550096899
9438,254229,258680.76666666666
11498,57137,58114.85555555555
4676,243704,229900.1489610195
4501,465051,438834.20329600904
268,939912,862413.6266666667
5108,407232,393713.17179765535
9823,599540,620753.9444444444
13422,167673,182023.51230158733
2483,165509,157463.3492550399
5162,98462,97915.37430928754
3238,260391,263826.10051404854
10997,148289,145174.5
11961,145470,145344.5806344717
1919,354540,318613.01451973955
9202,209504,235594.1290079365
8307,258662,284807.62786836445
12600,464647,461705.7
8962,355235,388152.2636864768
13237,253138,252647.43333333332
10617,52266,53406.49343434344
5212,172347,178386.13763637355
9201,212138,239031.37345238097
8636,235541,235782.05453085667
13493,209874,217001.7
12891,275224,279541.43333333335
9567,529300,550938.3
8389,517878,513626.4661071688
8745,62414,63696.17705300097
2260,242725,233556.64298642534
3358,87176,88812.72060611691
5794,371261,334289.046537037
8239,202735,209465.70300571172
8983,426901,401380.2863850948
4470,428610,418993.27765720454
10250,72691,72848.35666666667
6397,161435,154701.43859554298
6582,514092,492196.6967519621
2128,71406,71994.4984666965
5919,879557,918651.6427777777
8648,244327,234871.5508996924
17,114226,109033.1988895171
3968,108704,122708.59490759115
3741,362157,365201.25757353747
1402,299866,300845.9259924398
1893,296979,303093.1402236652
794,337575,334859.8875776398
5014,250781,255235.67716757898
1031,187908,188628.53166666668
5226,202840,204231.2711068508
11553,121241,132141.43333333332
8992,443471,447471.189762742
9963,90179,90072.53333333334
11561,138554,123047.16666666667
11349,128045,128009.88281746031
10966,127557,129246.95
5210,164996,187904.5570436508
5800,418016,363484.41375730996
13313,81269,84072.82666666666
9435,248378,248713.43333333332
7761,289191,298893.8356431659
10861,44639,43734.38833333333
682,190954,191688.73666666666
12178,179220,180644.4533333333
13031,108960,111909.22222222222
12355,74302,74508.66666666666
12114,94454,91463.80666666667
3336,71090,69847.28635224579
12597,450053,437148.3333333333
9796,537718,543322.9
163,472397,436193.38239316246
2910,236705,242251.47842089884
11485,52959,55614.4
12252,192846,188417.2461904762
3180,214614,217316.96009414876
9420,211791,218117.06666666668
1984,449490,471502.06607864355
6820,226810,224833.32247521784
11356,130287,131848.53918666905
13243,259145,252647.43333333332
3044,73572,81596.10657527657
7309,109276,121829.99456919087
86,253697,269148.1336714976
5063,335058,353149.0600264091
10219,579055,583438.5666666667
6608,525075,491115.91813907423
10103,323442,294524.6
12188,194903,186553.86666666667
8383,485993,465628.6313489015
4513,448131,453462.4712633654
5087,414500,418802.8731314533
2440,105119,93582.41858625397
13473,185358,191223.8
9269,321200,359769.4028981104
12866,228343,231621.4111111111
9005,445665,447958.3437253446
7364,193713,221272.76777777777
5596,328389,334110.4202777778
2906,240271,234964.1265416065
1365,297161,285263.3539421752
9995,138876,129567.03333333334
7912,255011,250742.157010582
3386,141116,139545.10515873015
10473,334424,343032.76666666666
13303,71699,72891.16666666667
2891,229652,236771.62220682387
6341,71762,69732.58001188353
12702,99137,95565.76944444445
4101,307802,308560.7886246999
2935,266535,262817.34931034484
5936,1042777,1041172.65
2373,368767,461553.25005952205
365,75126,93084.9111111111
3714,329178,317519.36757575755
12361,76767,76099.15555555555
4616,169086,178873.4914978418
10262,77663,76551.33333333333
4562,86703,89607.46598173161
10649,88520,107246.9
7799,406697,415079.8969821697
11429,162267,160763.4277777778
1066,208152,208051.7994047619
13300,68402,67512.53333333334
11456,44506,45047.03809523809
10600,47604,50563.773751803754
3058,82374,91818.21318804563
5568,333999,391055.35936394776
9360,95748,113164.47916666667
12839,217190,214892.4031400966
8195,132454,139156.047577802
9445,257263,278317.57703703706
691,219793,213297.3
776,301141,310827.3993236715
5666,630006,550983.4505181647
12733,141861,161335.1972222222
1728,301769,304627.7765204679
5160,96347,97670.4409759542
10160,414525,436217.8333333333
13039,132198,131132.47444444444
8868,228655,242165.9963642529
6014,1259725,1260026.8333333333
10360,221096,212235.12222222224
2356,323263,357963.42416556296
10737,119671,116924.19809223185
8963,360798,388172.13035314344
8388,514789,476068.9487654321
2915,245870,242108.93675423219
4094,281291,304268.2097766517
10056,255566,245933.8
9734,363275,367599.0
10383,245738,255130.7014814815
3033,66181,67076.98055599189
924,66659,68013.66436625601
5054,300060,324709.78066636634
624,97155,93009.34706643148
13033,113298,120643.97444444445
11734,191721,190355.96666666667
5635,423993,446740.39024928777
3468,301585,292650.5034918019
1415,333734,315015.25628237263
6832,231108,244893.9325021613
13471,185642,191223.8
2761,95082,100508.66980988396
7990,422956,379684.77890575014
12727,134038,131735.36615914787
11115,157804,157897.9
8629,233579,231181.03278174295
4897,138946,149987.60912361028
1649,261809,282826.35183528264
2361,342038,346280.93900592497
5328,260828,262306.2712296003
8922,282087,282121.652590702
2426,84005,80008.2578579963
12474,236916,235038.10952380951
12116,96195,90656.07555555555
12364,78799,80900.8
6252,358743,342516.38131215813
226,546793,577466.5
4279,138450,133412.0838499612
8524,165802,171344.47678515926
1906,321380,306942.4748092032
11000,147411,146088.73333333334
7228,505373,430764.75
4295,163383,161126.29599148835
11638,137100,138844.74912207917
28,115453,114910.56367530215
10268,83639,89109.06545454546
2934,260420,262817.34931034484
12554,304081,304394.8
11528,76450,94406.73333333334
9061,65097,70819.16472222221
5559,318786,299837.67537758534
1151,286281,290249.9778619529
8023,424126,419482.24545295775
8559,212564,214516.13707014258
5956,1231111,675887.3271993704
11120,157768,157976.26666666666
9322,439079,437714.8967535291
8642,237808,231031.0691771881
3293,386676,384794.11143562174
10509,429518,431408.9
9666,164894,173407.26666666666
9391,157424,150055.55515151515
12603,468120,472861.35000000003
7359,193764,191776.04847222223
2853,225897,228487.51260313677
4554,79892,81817.56153975484
1907,327338,317405.08360528364
5790,372276,337939.65665608464
1226,77914,76053.17892975062
628,101130,97930.29027777779
8349,342616,337665.41883597884
671,176603,148998.9285267434
7848,117000,109457.2861111111
3652,164070,133186.15913780665
10610,49024,51488.613196248196
10714,120952,123713.43333333333
4945,219045,220186.21948777506
7256,58996,65857.23917508418
1029,186667,187723.7888888889
8225,192011,184436.90014643408
4760,277155,289080.115187667
1437,400902,417241.0030239212
6493,275678,270778.3460992602
7297,97636,109295.65942203127
3079,113784,126198.15302605699
10884,48136,47914.13333333333
4244,90164,94153.7389063596
9889,1024447,1017824.4
10053,256614,246738.8
179,411955,378662.8964133089
13357,140284,150327.10915584414
10080,293277,287005.76666666666
4334,257768,215701.43302091424
4487,476522,462502.1644980571
7842,109130,107438.11555555555
